X,Y,Z,roll,pitch,yaw,img,path,camID
177068.1865,2535845.9444,46.7999,-81.83929431899999,-4.7132744419999995,105.97502744200001,200721_022535053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177065.2862,2535852.211,46.8111,-82.02190481,-4.800966535,105.998739624,200721_022536053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177062.1766,2535858.8657,46.8054,-82.725647062,-4.848185706000001,106.01573107700001,200721_022537053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177059.0249,2535865.7248,46.81,-82.38798307100001,-4.854274177,105.63973350200001,200721_022538053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177055.9415,2535872.4396,46.8346,-82.749599979,-4.796319345,105.62192783799999,200721_022539053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177053.0591,2535878.8208,46.8637,-82.417096316,-4.331939131,105.45402896200001,200721_022540053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177050.3493,2535884.8347,46.8302,-82.150258805,-4.464791897,105.44790044,200721_022541053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177047.774,2535890.5029,46.8147,-82.471680393,-4.408473074,105.684849615,200721_022542053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177045.3958,2535895.6949,46.8037,-82.73369206,-4.704471926,105.64752728299999,200721_022543053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177043.2778,2535900.3848,46.8069,-82.43094704,-4.42438078,105.17482152299999,200721_022544053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177041.5578,2535904.2413,46.812,-82.727479061,-4.144947235,105.824797336,200721_022545053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177040.2493,2535907.0646,46.8035,-82.430956207,-4.044927045,108.27443065,200721_022546053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177039.2205,2535909.0179,46.7909,-81.85524489,-3.875344539,118.212552766,200721_022547053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177038.0876,2535910.4138,46.7674,-81.994153669,-4.1228771580000005,139.65726135,200721_022548053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
